instruction,input,response
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet ytrefilet av svin med maisstuing og BBQ-saus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet svinefilet i brioche brød. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet biff med søtpotetmos. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig biff med fløtepoteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Indrefilet av okse med aspargesbønner og rødvinssaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Indrefilet av okse med potetmos og ovnsbakte tomater. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med søtpotetmos og brokkolisalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Poke med laks og quinoa. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med pesto og potetsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillspyd med kylling. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillspyd med svin og grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet kveite med aspargesbønner. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sommerkoteletter med stekt paprika. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet hummer med kryddersmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hummersalat med asparges og chilimajones. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kokt hummer med klassisk tilbehør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Grillet svinefilet med fersken, potetmos og BBQ saus. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet svinefilet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet svinefilet med fløtepoteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Poke salat med laks og ananas. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtebakt laks med ratatouille og potetmos. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskepinner med poteter og brokkoli. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Entrecôte med chimichurri og urtepoteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig biff med szechuan saus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekte svinekoteletter med surkål. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Torskefilet med ovnsbakte poteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med ovnsbakte poteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ørretfilet med kremet saus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Entrecôte med kryddersmør og stekt hjertesalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med indrefilet og pesto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Baconsurret indrefilet med rosettkål og fløtegratinerte poteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Marinert laks med bønnesalat og ratatouille. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Rosmarin- og hvitløksmarinert torskefilet med ertepuré, ratatouille og timianpoteter. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtebakt kveitefilet med honningglaserte rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Salat med laks, appelsin og avokado. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Kalkunfilet med ertepurè, spinat og brun saus. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med fennikel- og mangosalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt laks med ramsløk og ratatouille. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks i form med creme fraiche og appelsin. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseburger med tzatziki. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Reinsdyrfilet med pastinakkpuré. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lettsaltet torsk med kremet hvitløksaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Thai red curry med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ytrefilet av hjort med pastinakkpuré og viltsaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bresert lammestek i skiver. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Torskefilet med pesto og bønnesalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingfilet i wrap med BBQ saus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk byggrynssalat med laks og gulrøtter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakte kyllinglår med rotgrønnsaker og tomater. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtebakt laksefilet i form. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet kyllinglår med coleslaw. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter i form. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Chilimarinert grillribbe og potetsalat med kefir. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Quesadillas med krabbe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Gratinert krabbeskjell. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseburger med purre og reker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Laks og tunfisk tataki med fennikelsalat, stekte nudler og teriyaki. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Sprøstekt makrell og nypotetsalat med dill, rødbete og kapers. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Quesadillas med entrecôte. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig entrecôte med søtpotet fries og béarnaise. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt mørbrad med nøttebrunt soyasmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hvitvinsdampede blåskjell. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde elgkarbonader. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Parmesan crusted ytrefilet av svin. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Reinsdyr indrefilet med konjakksaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Porchetta. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt kveite med appelsinglasert fennikel og granateplesalsa. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Skinnstekt kveitefilet med grønnkål og safransaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Skrei med rotmos og sprøstekt bacon. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet laksefilet med grønnkål. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtepanert laksefilet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kveitebiff med mangosalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt skrei med baconsjy og mandelpoteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftige spareribs. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Torsk saltimbocca. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wraps med torskepinner og asiatisk dressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Dampede blåskjell. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med cornflakes og stekt paprika. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Grønnsakslasagne med søtpotet, aubergine og grønnkål. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarlasagne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tacotubs med torskepinner. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Skrei med spinat og granateple. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sprøstekte torsketunger med chilimajones. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks i form. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskepinner med revet gulrot og remulade. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lettsaltet torsk med eggesmør og gulrot. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig kyllinglår med svartkål og edamamebønner. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllinglår i form med druer. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt kyllinglår med edamamebønner. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Glaserte asparges med grillet laks og urte-hollandaise. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sesamstekt laks med soyadressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Rekesalat med avokado og mango. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet makrell med primørsalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Makrell blings med syltet rabarbra. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kamskjell og kongereker i pitabrød. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel lasagne. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt kveite med sellerirotpure og stekt spinat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Posjert kveite med smørdampede grønnsaker og sandefjordsmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt kveite med couscous salat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt kveite med gresk salat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk rekesmørbrød. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med rotmos. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med potetmos. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel poke med laks. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Stekt laksefilet med poteter, spinat og asparges. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Reinsdyrskav med syltede grønnsaker og hoisin. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Posjert skrei med syltet rødløk, bakte tomater og hollandaisesaus. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pepperkrabbe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt reinsdyrfilet med Selbu Blå og pære. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekte koteletter med ølsaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kveite med spinat og hollandaise. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel bacalao. Offers: .,High relevance
